# Generated test vector for ALU-32-BIT.
A[32] B[32] Op[4] Sa[5] C[32] V
0 -1 3 31 0 0
0 -1 4 0 1 0
0 -1 4 1 1 0
0 -1 4 31 1 0
0 -1 5 0 0 0
0 -1 5 1 0 0
0 -1 5 31 0 0
0 -1 6 0 -1 0
0 -1 6 1 -1 0
0 -1 6 31 -1 0
0 -1 7 0 0 0
0 -1 7 1 0 0
0 -1 7 31 0 0
0 -1 8 0 -1 0
0 -1 8 1 -1 0
0 -1 8 31 -1 0
0 -1 9 0 0 0
0 -1 9 1 0 0
0 -1 9 31 0 0
0 -1 10 0 -1 0
0 -1 10 1 -1 0
0 -1 10 31 -1 0
0 -1 11 0 -1 0
0 -1 11 1 -1 0
0 -1 11 31 -1 0
0 -1 12 0 -1 0
0 -1 12 1 -2 0
0 -1 12 31 -2147483648 0
0 -1 13 0 -1 0
0 -1 13 1 -2 0
0 -1 13 31 -2147483648 0
0 -1 14 0 1 0
0 -1 14 1 1 0
0 -1 14 31 1 0
0 -1 15 0 1 0
0 -1 15 1 1 0
0 -1 15 31 1 0
0 2147483647 0 0 2147483647 0
0 2147483647 0 1 1073741823 0
0 2147483647 0 31 0 0
0 2147483647 1 0 2147483647 0
0 2147483647 1 1 1073741823 0
0 2147483647 1 31 0 0
0 2147483647 2 0 1 0
0 2147483647 2 1 1 0
0 2147483647 2 31 1 0
0 2147483647 3 0 0 0
0 2147483647 3 1 0 0
0 2147483647 3 31 0 0
0 2147483647 4 0 1 0
0 2147483647 4 1 1 0
0 2147483647 4 31 1 0
0 2147483647 5 0 0 0
0 2147483647 5 1 0 0
0 2147483647 5 31 0 0
0 2147483647 6 0 2147483647 0
0 2147483647 6 1 2147483647 0
0 2147483647 6 31 2147483647 0
0 2147483647 7 0 -2147483648 0
0 2147483647 7 1 -2147483648 0
0 2147483647 7 31 -2147483648 0
0 2147483647 8 0 2147483647 0
0 2147483647 8 1 2147483647 0
0 2147483647 8 31 2147483647 0
0 2147483647 9 0 0 0
0 2147483647 9 1 0 0
0 2147483647 9 31 0 0
0 2147483647 10 0 2147483647 0
0 2147483647 10 1 2147483647 0
0 2147483647 10 31 2147483647 0
0 2147483647 11 0 2147483647 0
0 2147483647 11 1 2147483647 0
0 2147483647 11 31 2147483647 0
0 2147483647 12 0 2147483647 0
0 2147483647 12 1 -2 0
0 2147483647 12 31 -2147483648 0
0 2147483647 13 0 2147483647 0
0 2147483647 13 1 -2 0
0 2147483647 13 31 -2147483648 0
0 2147483647 14 0 -2147483647 0
0 2147483647 14 1 -2147483647 0
0 2147483647 14 31 -2147483647 0
0 2147483647 15 0 -2147483647 0
0 2147483647 15 1 -2147483647 0
0 2147483647 15 31 -2147483647 0
0 -2147483648 0 0 -2147483648 0
0 -2147483648 0 1 1073741824 0
0 -2147483648 0 31 1 0
0 -2147483648 1 0 -2147483648 0
0 -2147483648 1 1 -1073741824 0
0 -2147483648 1 31 -1 0
0 -2147483648 2 0 1 0
0 -2147483648 2 1 1 0
0 -2147483648 2 31 1 0
0 -2147483648 3 0 0 0
0 -2147483648 3 1 0 0
0 -2147483648 3 31 0 0
0 -2147483648 4 0 1 0
0 -2147483648 4 1 1 0
0 -2147483648 4 31 1 0
0 -2147483648 5 0 0 0
0 -2147483648 5 1 0 0
0 -2147483648 5 31 0 0
0 -2147483648 6 0 -2147483648 0
0 -2147483648 6 1 -2147483648 0
0 -2147483648 6 31 -2147483648 0
0 -2147483648 7 0 2147483647 0
0 -2147483648 7 1 2147483647 0
0 -2147483648 7 31 2147483647 0
0 -2147483648 8 0 -2147483648 0
0 -2147483648 8 1 -2147483648 0
0 -2147483648 8 31 -2147483648 0
0 -2147483648 9 0 0 0
0 -2147483648 9 1 0 0
0 -2147483648 9 31 0 0
0 -2147483648 10 0 -2147483648 0
0 -2147483648 10 1 -2147483648 0
0 -2147483648 10 31 -2147483648 0
0 -2147483648 11 0 -2147483648 0
0 -2147483648 11 1 -2147483648 0
0 -2147483648 11 31 -2147483648 0
0 -2147483648 12 0 -2147483648 0
0 -2147483648 12 1 0 0
0 -2147483648 12 31 0 0
0 -2147483648 13 0 -2147483648 0
0 -2147483648 13 1 0 0
0 -2147483648 13 31 0 0
0 -2147483648 14 0 -2147483648 1
0 -2147483648 14 1 -2147483648 1
0 -2147483648 14 31 -2147483648 1
0 -2147483648 15 0 -2147483648 1
0 -2147483648 15 1 -2147483648 1
0 -2147483648 15 31 -2147483648 1
1 0 0 0 0 0
1 0 0 1 0 0
1 0 0 31 0 0
1 0 1 0 0 0
1 0 1 1 0 0
1 0 1 31 0 0
1 0 2 0 0 0
1 0 2 1 0 0
1 0 2 31 0 0
1 0 3 0 1 0
1 0 3 1 1 0
1 0 3 31 1 0
1 0 4 0 1 0
1 0 4 1 1 0
1 0 4 31 1 0
1 0 5 0 0 0
1 0 5 1 0 0
1 0 5 31 0 0
1 0 6 0 1 0
1 0 6 1 1 0
1 0 6 31 1 0
1 0 7 0 -2 0
1 0 7 1 -2 0
1 0 7 31 -2 0
1 0 8 0 1 0
1 0 8 1 1 0
1 0 8 31 1 0
1 0 9 0 0 0
1 0 9 1 0 0
1 0 9 31 0 0
1 0 10 0 1 0
1 0 10 1 1 0
1 0 10 31 1 0
1 0 11 0 1 0
1 0 11 1 1 0
1 0 11 31 1 0
1 0 12 0 0 0
1 0 12 1 0 0
1 0 12 31 0 0
1 0 13 0 0 0
1 0 13 1 0 0
1 0 13 31 0 0
1 0 14 0 1 0
1 0 14 1 1 0
1 0 14 31 1 0
1 0 15 0 1 0
1 0 15 1 1 0
1 0 15 31 1 0
1 1 0 0 1 0
1 1 0 1 0 0
1 1 0 31 0 0
1 1 1 0 1 0
1 1 1 1 0 0
1 1 1 31 0 0
1 1 2 0 0 0
1 1 2 1 0 0
1 1 2 31 0 0
1 1 3 0 1 0
1 1 3 1 1 0
1 1 3 31 1 0
1 1 4 0 0 0
1 1 4 1 0 0
1 1 4 31 0 0
1 1 5 0 1 0
1 1 5 1 1 0
1 1 5 31 1 0
1 1 6 0 0 0
1 1 6 1 0 0
1 1 6 31 0 0
1 1 7 0 -2 0
1 1 7 1 -2 0
1 1 7 31 -2 0
1 1 8 0 1 0
1 1 8 1 1 0
1 1 8 31 1 0
1 1 9 0 1 0
1 1 9 1 1 0
1 1 9 31 1 0
1 1 10 0 2 0
1 1 10 1 2 0
1 1 10 31 2 0
1 1 11 0 2 0
1 1 11 1 2 0
1 1 11 31 2 0
1 1 12 0 1 0
1 1 12 1 2 0
1 1 12 31 -2147483648 0
1 1 13 0 1 0
1 1 13 1 2 0
1 1 13 31 -2147483648 0
1 1 14 0 0 0
1 1 14 1 0 0
1 1 14 31 0 0
1 1 15 0 0 0
1 1 15 1 0 0
1 1 15 31 0 0
1 -1 0 0 -1 0
1 -1 0 1 2147483647 0
1 -1 0 31 1 0
1 -1 1 0 -1 0
1 -1 1 1 -1 0
1 -1 1 31 -1 0
1 -1 2 0 0 0
1 -1 2 1 0 0
1 -1 2 31 0 0
1 -1 3 0 1 0
1 -1 3 1 1 0
1 -1 3 31 1 0
1 -1 4 0 1 0
1 -1 4 1 1 0
1 -1 4 31 1 0
1 -1 5 0 0 0
1 -1 5 1 0 0
1 -1 5 31 0 0
1 -1 6 0 -2 0
1 -1 6 1 -2 0
1 -1 6 31 -2 0
1 -1 7 0 0 0
1 -1 7 1 0 0
1 -1 7 31 0 0
1 -1 8 0 -1 0
1 -1 8 1 -1 0
1 -1 8 31 -1 0
1 -1 9 0 1 0
1 -1 9 1 1 0
1 -1 9 31 1 0
1 -1 10 0 0 0
1 -1 10 1 0 0
1 -1 10 31 0 0
1 -1 11 0 0 0
1 -1 11 1 0 0
1 -1 11 31 0 0
1 -1 12 0 -1 0
1 -1 12 1 -2 0
1 -1 12 31 -2147483648 0
1 -1 13 0 -1 0
1 -1 13 1 -2 0
1 -1 13 31 -2147483648 0
1 -1 14 0 2 0
1 -1 14 1 2 0
1 -1 14 31 2 0
1 -1 15 0 2 0
1 -1 15 1 2 0
1 -1 15 31 2 0
1 2147483647 0 0 2147483647 0
1 2147483647 0 1 1073741823 0
1 2147483647 0 31 0 0
1 2147483647 1 0 2147483647 0
1 2147483647 1 1 1073741823 0
1 2147483647 1 31 0 0
1 2147483647 2 0 0 0
1 2147483647 2 1 0 0
1 2147483647 2 31 0 0
1 2147483647 3 0 1 0
1 2147483647 3 1 1 0
1 2147483647 3 31 1 0
1 2147483647 4 0 1 0
1 2147483647 4 1 1 0
1 2147483647 4 31 1 0
1 2147483647 5 0 0 0
1 2147483647 5 1 0 0
1 2147483647 5 31 0 0
1 2147483647 6 0 2147483646 0
1 2147483647 6 1 2147483646 0
1 2147483647 6 31 2147483646 0
1 2147483647 7 0 -2147483648 0
1 2147483647 7 1 -2147483648 0
1 2147483647 7 31 -2147483648 0
1 2147483647 8 0 2147483647 0
1 2147483647 8 1 2147483647 0
1 2147483647 8 31 2147483647 0
1 2147483647 9 0 1 0
1 2147483647 9 1 1 0
1 2147483647 9 31 1 0
1 2147483647 10 0 -2147483648 1
1 2147483647 10 1 -2147483648 1
1 2147483647 10 31 -2147483648 1
1 2147483647 11 0 -2147483648 1
1 2147483647 11 1 -2147483648 1
1 2147483647 11 31 -2147483648 1
1 2147483647 12 0 2147483647 0
1 2147483647 12 1 -2 0
1 2147483647 12 31 -2147483648 0
1 2147483647 13 0 2147483647 0
1 2147483647 13 1 -2 0
1 2147483647 13 31 -2147483648 0
1 2147483647 14 0 -2147483646 0
1 2147483647 14 1 -2147483646 0
1 2147483647 14 31 -2147483646 0
1 2147483647 15 0 -2147483646 0
1 2147483647 15 1 -2147483646 0
1 2147483647 15 31 -2147483646 0
1 -2147483648 0 0 -2147483648 0
1 -2147483648 0 1 1073741824 0
1 -2147483648 0 31 1 0
1 -2147483648 1 0 -2147483648 0
1 -2147483648 1 1 -1073741824 0
1 -2147483648 1 31 -1 0
1 -2147483648 2 0 0 0
1 -2147483648 2 1 0 0
1 -2147483648 2 31 0 0
1 -2147483648 3 0 1 0
1 -2147483648 3 1 1 0
1 -2147483648 3 31 1 0
1 -2147483648 4 0 1 0
1 -2147483648 4 1 1 0
1 -2147483648 4 31 1 0
1 -2147483648 5 0 0 0
1 -2147483648 5 1 0 0
1 -2147483648 5 31 0 0
1 -2147483648 6 0 -2147483647 0
1 -2147483648 6 1 -2147483647 0
1 -2147483648 6 31 -2147483647 0
1 -2147483648 7 0 2147483646 0
1 -2147483648 7 1 2147483646 0
1 -2147483648 7 31 2147483646 0
1 -2147483648 8 0 -2147483647 0
1 -2147483648 8 1 -2147483647 0
1 -2147483648 8 31 -2147483647 0
1 -2147483648 9 0 0 0
1 -2147483648 9 1 0 0
1 -2147483648 9 31 0 0
1 -2147483648 10 0 -2147483647 0
1 -2147483648 10 1 -2147483647 0
1 -2147483648 10 31 -2147483647 0
1 -2147483648 11 0 -2147483647 0
1 -2147483648 11 1 -2147483647 0
1 -2147483648 11 31 -2147483647 0
1 -2147483648 12 0 -2147483648 0
1 -2147483648 12 1 0 0
1 -2147483648 12 31 0 0
1 -2147483648 13 0 -2147483648 0
1 -2147483648 13 1 0 0
1 -2147483648 13 31 0 0
1 -2147483648 14 0 -2147483647 1
1 -2147483648 14 1 -2147483647 1
1 -2147483648 14 31 -2147483647 1
1 -2147483648 15 0 -2147483647 1
1 -2147483648 15 1 -2147483647 1
1 -2147483648 15 31 -2147483647 1
-1 0 0 0 0 0
-1 0 0 1 0 0
-1 0 0 31 0 0
-1 0 1 0 0 0
-1 0 1 1 0 0
-1 0 1 31 0 0
-1 0 2 0 1 0
-1 0 2 1 1 0
-1 0 2 31 1 0
-1 0 3 0 0 0
-1 0 3 1 0 0
-1 0 3 31 0 0
-1 0 4 0 1 0
-1 0 4 1 1 0
-1 0 4 31 1 0
-1 0 5 0 0 0
-1 0 5 1 0 0
-1 0 5 31 0 0
-1 0 6 0 -1 0
-1 0 6 1 -1 0
-1 0 6 31 -1 0
-1 0 7 0 0 0
-1 0 7 1 0 0
-1 0 7 31 0 0
-1 0 8 0 -1 0
-1 0 8 1 -1 0
-1 0 8 31 -1 0
-1 0 9 0 0 0
-1 0 9 1 0 0
-1 0 9 31 0 0
-1 0 10 0 -1 0
-1 0 10 1 -1 0
-1 0 10 31 -1 0
-1 0 11 0 -1 0
-1 0 11 1 -1 0
-1 0 11 31 -1 0
-1 0 12 0 0 0
-1 0 12 1 0 0
-1 0 12 31 0 0
-1 0 13 0 0 0
-1 0 13 1 0 0
-1 0 13 31 0 0
-1 0 14 0 -1 0
-1 0 14 1 -1 0
-1 0 14 31 -1 0
-1 0 15 0 -1 0
-1 0 15 1 -1 0
-1 0 15 31 -1 0
-1 1 0 0 1 0
-1 1 0 1 0 0
-1 1 0 31 0 0
-1 1 1 0 1 0
-1 1 1 1 0 0
-1 1 1 31 0 0
-1 1 2 0 1 0
-1 1 2 1 1 0
-1 1 2 31 1 0
-1 1 3 0 0 0
-1 1 3 1 0 0
-1 1 3 31 0 0
-1 1 4 0 1 0
-1 1 4 1 1 0
-1 1 4 31 1 0
-1 1 5 0 0 0
-1 1 5 1 0 0
-1 1 5 31 0 0
-1 1 6 0 -2 0
-1 1 6 1 -2 0
-1 1 6 31 -2 0
-1 1 7 0 0 0
-1 1 7 1 0 0
-1 1 7 31 0 0
-1 1 8 0 -1 0
-1 1 8 1 -1 0
-1 1 8 31 -1 0
-1 1 9 0 1 0
-1 1 9 1 1 0
-1 1 9 31 1 0
-1 1 10 0 0 0
-1 1 10 1 0 0
-1 1 10 31 0 0
-1 1 11 0 0 0
-1 1 11 1 0 0
-1 1 11 31 0 0
-1 1 12 0 1 0
-1 1 12 1 2 0
-1 1 12 31 -2147483648 0
-1 1 13 0 1 0
-1 1 13 1 2 0
-1 1 13 31 -2147483648 0
-1 1 14 0 -2 0
-1 1 14 1 -2 0
-1 1 14 31 -2 0
-1 1 15 0 -2 0
-1 1 15 1 -2 0
-1 1 15 31 -2 0
-1 -1 0 0 -1 0
-1 -1 0 1 2147483647 0
-1 -1 0 31 1 0
-1 -1 1 0 -1 0
-1 -1 1 1 -1 0
-1 -1 1 31 -1 0
-1 -1 2 0 1 0
-1 -1 2 1 1 0
-1 -1 2 31 1 0
-1 -1 3 0 0 0
-1 -1 3 1 0 0
-1 -1 3 31 0 0
-1 -1 4 0 0 0
-1 -1 4 1 0 0
-1 -1 4 31 0 0
-1 -1 5 0 1 0
-1 -1 5 1 1 0
-1 -1 5 31 1 0
-1 -1 6 0 0 0
-1 -1 6 1 0 0
-1 -1 6 31 0 0
-1 -1 7 0 0 0
-1 -1 7 1 0 0
-1 -1 7 31 0 0
-1 -1 8 0 -1 0
-1 -1 8 1 -1 0
-1 -1 8 31 -1 0
-1 -1 9 0 -1 0
-1 -1 9 1 -1 0
-1 -1 9 31 -1 0
-1 -1 10 0 -2 0
-1 -1 10 1 -2 0
-1 -1 10 31 -2 0
-1 -1 11 0 -2 0
-1 -1 11 1 -2 0
-1 -1 11 31 -2 0
-1 -1 12 0 -1 0
-1 -1 12 1 -2 0
-1 -1 12 31 -2147483648 0
-1 -1 13 0 -1 0
-1 -1 13 1 -2 0
-1 -1 13 31 -2147483648 0
-1 -1 14 0 0 0
-1 -1 14 1 0 0
-1 -1 14 31 0 0
-1 -1 15 0 0 0
-1 -1 15 1 0 0
-1 -1 15 31 0 0
-1 2147483647 0 0 2147483647 0
-1 2147483647 0 1 1073741823 0
-1 2147483647 0 31 0 0
-1 2147483647 1 0 2147483647 0
-1 2147483647 1 1 1073741823 0
-1 2147483647 1 31 0 0
-1 2147483647 2 0 1 0
-1 2147483647 2 1 1 0
-1 2147483647 2 31 1 0
-1 2147483647 3 0 0 0
-1 2147483647 3 1 0 0
-1 2147483647 3 31 0 0
-1 2147483647 4 0 1 0
-1 2147483647 4 1 1 0
-1 2147483647 4 31 1 0
-1 2147483647 5 0 0 0
-1 2147483647 5 1 0 0
-1 2147483647 5 31 0 0
-1 2147483647 6 0 -2147483648 0
-1 2147483647 6 1 -2147483648 0
-1 2147483647 6 31 -2147483648 0
-1 2147483647 7 0 0 0
-1 2147483647 7 1 0 0
-1 2147483647 7 31 0 0
-1 2147483647 8 0 -1 0
-1 2147483647 8 1 -1 0
-1 2147483647 8 31 -1 0
-1 2147483647 9 0 2147483647 0
-1 2147483647 9 1 2147483647 0
-1 2147483647 9 31 2147483647 0
-1 2147483647 10 0 2147483646 0
-1 2147483647 10 1 2147483646 0
-1 2147483647 10 31 2147483646 0
-1 2147483647 11 0 2147483646 0
-1 2147483647 11 1 2147483646 0
-1 2147483647 11 31 2147483646 0
-1 2147483647 12 0 2147483647 0
-1 2147483647 12 1 -2 0
-1 2147483647 12 31 -2147483648 0
-1 2147483647 13 0 2147483647 0
-1 2147483647 13 1 -2 0
-1 2147483647 13 31 -2147483648 0
-1 2147483647 14 0 -2147483648 0
-1 2147483647 14 1 -2147483648 0
-1 2147483647 14 31 -2147483648 0
-1 2147483647 15 0 -2147483648 0
-1 2147483647 15 1 -2147483648 0
-1 2147483647 15 31 -2147483648 0
-1 -2147483648 0 0 -2147483648 0
-1 -2147483648 0 1 1073741824 0
-1 -2147483648 0 31 1 0
-1 -2147483648 1 0 -2147483648 0
-1 -2147483648 1 1 -1073741824 0
-1 -2147483648 1 31 -1 0
-1 -2147483648 2 0 1 0
-1 -2147483648 2 1 1 0
-1 -2147483648 2 31 1 0
-1 -2147483648 3 0 0 0
-1 -2147483648 3 1 0 0
-1 -2147483648 3 31 0 0
-1 -2147483648 4 0 1 0
-1 -2147483648 4 1 1 0
-1 -2147483648 4 31 1 0
-1 -2147483648 5 0 0 0
-1 -2147483648 5 1 0 0
-1 -2147483648 5 31 0 0
-1 -2147483648 6 0 2147483647 0
-1 -2147483648 6 1 2147483647 0
-1 -2147483648 6 31 2147483647 0
-1 -2147483648 7 0 0 0
-1 -2147483648 7 1 0 0
-1 -2147483648 7 31 0 0
-1 -2147483648 8 0 -1 0
-1 -2147483648 8 1 -1 0
-1 -2147483648 8 31 -1 0
-1 -2147483648 9 0 -2147483648 0
-1 -2147483648 9 1 -2147483648 0
-1 -2147483648 9 31 -2147483648 0
-1 -2147483648 10 0 2147483647 1
-1 -2147483648 10 1 2147483647 1
-1 -2147483648 10 31 2147483647 1
-1 -2147483648 11 0 2147483647 1
-1 -2147483648 11 1 2147483647 1
-1 -2147483648 11 31 2147483647 1
-1 -2147483648 12 0 -2147483648 0
-1 -2147483648 12 1 0 0
-1 -2147483648 12 31 0 0
-1 -2147483648 13 0 -2147483648 0
-1 -2147483648 13 1 0 0
-1 -2147483648 13 31 0 0
-1 -2147483648 14 0 2147483647 0
-1 -2147483648 14 1 2147483647 0
-1 -2147483648 14 31 2147483647 0
-1 -2147483648 15 0 2147483647 0
-1 -2147483648 15 1 2147483647 0
-1 -2147483648 15 31 2147483647 0
2147483647 0 0 0 0 0
2147483647 0 0 1 0 0
2147483647 0 0 31 0 0
2147483647 0 1 0 0 0
2147483647 0 1 1 0 0
2147483647 0 1 31 0 0
2147483647 0 2 0 0 0
2147483647 0 2 1 0 0
2147483647 0 2 31 0 0
2147483647 0 3 0 1 0
2147483647 0 3 1 1 0
2147483647 0 3 31 1 0
2147483647 0 4 0 1 0
2147483647 0 4 1 1 0
2147483647 0 4 31 1 0
2147483647 0 5 0 0 0
2147483647 0 5 1 0 0
2147483647 0 5 31 0 0
2147483647 0 6 0 2147483647 0
2147483647 0 6 1 2147483647 0
2147483647 0 6 31 2147483647 0
2147483647 0 7 0 -2147483648 0
2147483647 0 7 1 -2147483648 0
2147483647 0 7 31 -2147483648 0
2147483647 0 8 0 2147483647 0
2147483647 0 8 1 2147483647 0
2147483647 0 8 31 2147483647 0
2147483647 0 9 0 0 0
2147483647 0 9 1 0 0
2147483647 0 9 31 0 0
2147483647 0 10 0 2147483647 0
2147483647 0 10 1 2147483647 0
2147483647 0 10 31 2147483647 0
2147483647 0 11 0 2147483647 0
2147483647 0 11 1 2147483647 0
2147483647 0 11 31 2147483647 0
2147483647 0 12 0 0 0
2147483647 0 12 1 0 0
2147483647 0 12 31 0 0
2147483647 0 13 0 0 0
2147483647 0 13 1 0 0
2147483647 0 13 31 0 0
2147483647 0 14 0 2147483647 0
2147483647 0 14 1 2147483647 0
2147483647 0 14 31 2147483647 0
2147483647 0 15 0 2147483647 0
2147483647 0 15 1 2147483647 0
2147483647 0 15 31 2147483647 0
2147483647 1 0 0 1 0
2147483647 1 0 1 0 0
2147483647 1 0 31 0 0
2147483647 1 1 0 1 0
2147483647 1 1 1 0 0
2147483647 1 1 31 0 0
2147483647 1 2 0 0 0
2147483647 1 2 1 0 0
2147483647 1 2 31 0 0
2147483647 1 3 0 1 0
2147483647 1 3 1 1 0
2147483647 1 3 31 1 0
2147483647 1 4 0 1 0
2147483647 1 4 1 1 0
2147483647 1 4 31 1 0
2147483647 1 5 0 0 0
2147483647 1 5 1 0 0
2147483647 1 5 31 0 0
2147483647 1 6 0 2147483646 0
2147483647 1 6 1 2147483646 0
2147483647 1 6 31 2147483646 0
2147483647 1 7 0 -2147483648 0
2147483647 1 7 1 -2147483648 0
2147483647 1 7 31 -2147483648 0
2147483647 1 8 0 2147483647 0
2147483647 1 8 1 2147483647 0
2147483647 1 8 31 2147483647 0
2147483647 1 9 0 1 0
2147483647 1 9 1 1 0
2147483647 1 9 31 1 0
2147483647 1 10 0 -2147483648 1
2147483647 1 10 1 -2147483648 1
2147483647 1 10 31 -2147483648 1
2147483647 1 11 0 -2147483648 1
2147483647 1 11 1 -2147483648 1
2147483647 1 11 31 -2147483648 1
2147483647 1 12 0 1 0
2147483647 1 12 1 2 0
2147483647 1 12 31 -2147483648 0
2147483647 1 13 0 1 0
2147483647 1 13 1 2 0
2147483647 1 13 31 -2147483648 0
2147483647 1 14 0 2147483646 0
2147483647 1 14 1 2147483646 0
2147483647 1 14 31 2147483646 0
2147483647 1 15 0 2147483646 0
2147483647 1 15 1 2147483646 0
2147483647 1 15 31 2147483646 0
2147483647 -1 0 0 -1 0
2147483647 -1 0 1 2147483647 0
2147483647 -1 0 31 1 0
2147483647 -1 1 0 -1 0
2147483647 -1 1 1 -1 0
2147483647 -1 1 31 -1 0
2147483647 -1 2 0 0 0
2147483647 -1 2 1 0 0
2147483647 -1 2 31 0 0
2147483647 -1 3 0 1 0
2147483647 -1 3 1 1 0
2147483647 -1 3 31 1 0
2147483647 -1 4 0 1 0
2147483647 -1 4 1 1 0
2147483647 -1 4 31 1 0
2147483647 -1 5 0 0 0
2147483647 -1 5 1 0 0
2147483647 -1 5 31 0 0
2147483647 -1 6 0 -2147483648 0
2147483647 -1 6 1 -2147483648 0
2147483647 -1 6 31 -2147483648 0
2147483647 -1 7 0 0 0
2147483647 -1 7 1 0 0
2147483647 -1 7 31 0 0
2147483647 -1 8 0 -1 0
2147483647 -1 8 1 -1 0
2147483647 -1 8 31 -1 0
2147483647 -1 9 0 2147483647 0
2147483647 -1 9 1 2147483647 0
2147483647 -1 9 31 2147483647 0
2147483647 -1 10 0 2147483646 0
2147483647 -1 10 1 2147483646 0
2147483647 -1 10 31 2147483646 0
2147483647 -1 11 0 2147483646 0
2147483647 -1 11 1 2147483646 0
2147483647 -1 11 31 2147483646 0
2147483647 -1 12 0 -1 0
2147483647 -1 12 1 -2 0
2147483647 -1 12 31 -2147483648 0
2147483647 -1 13 0 -1 0
2147483647 -1 13 1 -2 0
2147483647 -1 13 31 -2147483648 0
2147483647 -1 14 0 -2147483648 1
2147483647 -1 14 1 -2147483648 1
2147483647 -1 14 31 -2147483648 1
2147483647 -1 15 0 -2147483648 1
2147483647 -1 15 1 -2147483648 1
2147483647 -1 15 31 -2147483648 1
2147483647 2147483647 0 0 2147483647 0
2147483647 2147483647 0 1 1073741823 0
2147483647 2147483647 0 31 0 0
2147483647 2147483647 1 0 2147483647 0
2147483647 2147483647 1 1 1073741823 0
2147483647 2147483647 1 31 0 0
2147483647 2147483647 2 0 0 0
2147483647 2147483647 2 1 0 0
2147483647 2147483647 2 31 0 0
2147483647 2147483647 3 0 1 0
2147483647 2147483647 3 1 1 0
2147483647 2147483647 3 31 1 0
2147483647 2147483647 4 0 0 0
2147483647 2147483647 4 1 0 0
2147483647 2147483647 4 31 0 0
2147483647 2147483647 5 0 1 0
2147483647 2147483647 5 1 1 0
2147483647 2147483647 5 31 1 0
2147483647 2147483647 6 0 0 0
2147483647 2147483647 6 1 0 0
2147483647 2147483647 6 31 0 0
2147483647 2147483647 7 0 -2147483648 0
2147483647 2147483647 7 1 -2147483648 0
2147483647 2147483647 7 31 -2147483648 0
2147483647 2147483647 8 0 2147483647 0
2147483647 2147483647 8 1 2147483647 0
2147483647 2147483647 8 31 2147483647 0
2147483647 2147483647 9 0 2147483647 0
2147483647 2147483647 9 1 2147483647 0
2147483647 2147483647 9 31 2147483647 0
2147483647 2147483647 10 0 -2 1
2147483647 2147483647 10 1 -2 1
2147483647 2147483647 10 31 -2 1
2147483647 2147483647 11 0 -2 1
2147483647 2147483647 11 1 -2 1
